id,SAL_CODE_2021,SAL_NAME_2021,STATE_CODE_2021,STATE_NAME_2021,AUS_CODE_2021,AUS_NAME_2021,AREA_ALBERS_SQKM,ASGS_LOCI_URI_2021
"1","10001",Aarons Pass,"1",New South Wales,AUS,Australia,82.7639,http://linked.data.gov.au/dataset/asgsed3/SAL/10001
"2","10002",Abbotsbury,"1",New South Wales,AUS,Australia,4.9788,http://linked.data.gov.au/dataset/asgsed3/SAL/10002
"3","10003",Abbotsford (NSW),"1",New South Wales,AUS,Australia,1.018,http://linked.data.gov.au/dataset/asgsed3/SAL/10003
"4","10004",Abercrombie,"1",New South Wales,AUS,Australia,2.9775,http://linked.data.gov.au/dataset/asgsed3/SAL/10004
"5","10005",Abercrombie River,"1",New South Wales,AUS,Australia,127.1701,http://linked.data.gov.au/dataset/asgsed3/SAL/10005
"6","10006",Aberdare,"1",New South Wales,AUS,Australia,3.2961,http://linked.data.gov.au/dataset/asgsed3/SAL/10006
"7","10007",Aberdeen (NSW),"1",New South Wales,AUS,Australia,41.6327,http://linked.data.gov.au/dataset/asgsed3/SAL/10007
"8","10008",Aberfoyle,"1",New South Wales,AUS,Australia,340.4792,http://linked.data.gov.au/dataset/asgsed3/SAL/10008
"9","10009",Aberglasslyn,"1",New South Wales,AUS,Australia,6.2154,http://linked.data.gov.au/dataset/asgsed3/SAL/10009
"10","10010",Abermain,"1",New South Wales,AUS,Australia,15.3822,http://linked.data.gov.au/dataset/asgsed3/SAL/10010
"11","10011",Abernethy,"1",New South Wales,AUS,Australia,8.4025,http://linked.data.gov.au/dataset/asgsed3/SAL/10011
"12","10012",Abington (NSW),"1",New South Wales,AUS,Australia,174.3142,http://linked.data.gov.au/dataset/asgsed3/SAL/10012
"13","10013",Acacia Creek,"1",New South Wales,AUS,Australia,6.261,http://linked.data.gov.au/dataset/asgsed3/SAL/10013
"14","10014",Acacia Gardens,"1",New South Wales,AUS,Australia,1.0013,http://linked.data.gov.au/dataset/asgsed3/SAL/10014
"15","10015",Adaminaby,"1",New South Wales,AUS,Australia,356.4961,http://linked.data.gov.au/dataset/asgsed3/SAL/10015
"16","10016",Adamstown,"1",New South Wales,AUS,Australia,3.051,http://linked.data.gov.au/dataset/asgsed3/SAL/10016
"17","10017",Adamstown Heights,"1",New South Wales,AUS,Australia,2.394,http://linked.data.gov.au/dataset/asgsed3/SAL/10017
"18","10018",Adelong,"1",New South Wales,AUS,Australia,20.2697,http://linked.data.gov.au/dataset/asgsed3/SAL/10018
"19","10019",Adjungbilly,"1",New South Wales,AUS,Australia,438.1006,http://linked.data.gov.au/dataset/asgsed3/SAL/10019
"20","10020",Afterlee,"1",New South Wales,AUS,Australia,34.7839,http://linked.data.gov.au/dataset/asgsed3/SAL/10020
"21","10021",Agnes Banks,"1",New South Wales,AUS,Australia,15.475,http://linked.data.gov.au/dataset/asgsed3/SAL/10021
"22","10022",Airds,"1",New South Wales,AUS,Australia,2.3806,http://linked.data.gov.au/dataset/asgsed3/SAL/10022
