id,type_code,type_description,name,postcode,land_area,area_derivation,st_area_shape_,st_perimeter_shape_,object_id
"1","152",Postal Locality,WEST LYONS RIVER,"6705",20042833699.049,CO,24219265426.0851,1213834.54007633,"1"
"2","152",Postal Locality,GASCOYNE RIVER,"6705",26744900405.186,CO,33036313736.364,1359809.20610685,"2"
"3","152",Postal Locality,ROCKLEA,"6751",6132626471.686,CO,7074645727.32412,723388.079680786,"3"
"4","152",Postal Locality,TALANDJI,"6710",5705737719.554,CO,6675377780.94722,538088.945526073,"4"
"5","152",Postal Locality,HAMERSLEY RANGE,"6716",7312593643.218,CO,8559732962.66401,704480.542444628,"5"
"6","152",Postal Locality,INNAWANGA,"6751",15223360828.696,CO,18170185302.3979,1023285.17949339,"6"
"7","152",Postal Locality,MILLSTREAM,"6716",2795049431.355,CO,3239954767.25026,396613.439579212,"7"
"8","152",Postal Locality,NANUTARRA,"6751",14060132010.065,CO,16592281895.5446,1062632.94077408,"8"
"9","152",Postal Locality,JUNA DOWNS,"6751",2143033641.056,CO,2529113054.2777,361578.905884618,"9"
"10","152",Postal Locality,ARROWSMITH,"6525",821715212.492,CO,1088470153.42678,137869.470459945,"10"
"11","152",Postal Locality,WOORAMEL,"6701",7773460691.221,CO,9602959513.60175,627352.71730855,"11"
"12","152",Postal Locality,KUMARINA,"6642",16361489595.811,CO,20029907461.406,879128.883807086,"12"
"13","152",Postal Locality,BOOKARA,"6525",141438080.888,CO,185455816.595228,63271.7274699074,"13"
"14","152",Postal Locality,LAVERTON,"6440",11482309352.114,CO,14994396966.5951,667102.347969039,"14"
"15","152",Postal Locality,BEADELL,"6440",72937567698.343,CO,94091605980.2276,1273084.89348823,"15"
"16","152",Postal Locality,GOODLANDS,"6468",2119442106.907,CO,2832456860.31279,338054.034627295,"16"
"17","152",Postal Locality,JIBBERDING,"6612",1054071787.474,CO,1409579017.58399,259063.827423049,"17"
"18","152",Postal Locality,SERPENTINE,"6125",104773009.455,CO,147268974.987854,72520.6520226866,"18"
"19","152",Postal Locality,WOORREE,"6530",5032487.892,CO,6572994.10019871,12055.8638445659,"19"
"20","152",Postal Locality,HERDSMAN,"6017",3107340.442,CO,4325661.77370509,8567.85834193721,"20"
"21","152",Postal Locality,BELLEVUE,"6056",3026279.374,CO,4212872.95193938,10137.2400194162,"21"
"22","152",Postal Locality,GREEN RANGE,"6328",470551247.487,CO,697593177.384245,129718.945582784,"22"
"23","152",Postal Locality,METTLER,"6328",244512320.323,CO,361795189.605968,107296.888798829,"23"
"24","152",Postal Locality,MAYANUP,"6244",384235017.09,CO,559875181.880816,133717.279187485,"24"
"25","152",Postal Locality,PAYNES FIND,"6612",10950966218.379,CO,14412089684.0671,816097.690490721,"25"
"26","152",Postal Locality,ROTHSAY,"6620",3490061696.786,CO,4598657680.73237,381666.191211399,"26"
"27","152",Postal Locality,SWANBOURNE,"6010",5181873.462,CO,7220424.33393244,13367.6887084284,"27"
"28","152",Postal Locality,CHURCHLANDS,"6018",1718175.4,CO,2395248.29529691,10240.2021087229,"28"
"29","152",Postal Locality,WINNEJUP,"6255",160408230.938,CO,233596978.108442,99969.6738007339,"29"
"30","152",Postal Locality,MINILYA,"6701",9031286793.168,CO,10849761782.6737,869182.62502608,"30"
"31","152",Postal Locality,FLOREAT,"6014",5296322.102,CO,6620180.83216749,12762.2638033358,"31"
"32","152",Postal Locality,JANDABUP,"6077",18610443.71,CO,25821689.144177,22179.9976828766,"32"
"33","152",Postal Locality,WEST SWAN,"6055",6591006.071,CO,9166420.08799286,16978.8347796274,"33"
"34","152",Postal Locality,THOMSON BROOK,"6239",86513230.696,CO,125086637.079532,58918.5852780821,"34"
"35","152",Postal Locality,MEEKATHARRA,"6642",26588686154.462,CO,33295424270.4145,1062067.98728185,"35"
"36","152",Postal Locality,SPRINGFIELD,"6525",14722086.133,CO,19421930.4672876,22681.3065423566,"36"
"37","152",Postal Locality,BICKLEY,"6076",9867924.081,CO,13761834.3303747,22900.1956367242,"37"
"38","152",Postal Locality,WANGARA,"6065",5566731.289,CO,7732709.7652274,13272.2154477691,"38"
"39","152",Postal Locality,GNANGARA,"6077",14734653.707,CO,20460006.7501859,18688.186488097,"39"
"40","152",Postal Locality,KIARA,"6054",1394988.544,CO,1940855.60733279,5725.62093505949,"40"
"41","152",Postal Locality,PLUMRIDGE LAKES,"6431",76895375494.947,CO,102139569395.259,1761522.40847545,"41"
"42","152",Postal Locality,ULARRING,"6436",26597033739.143,CO,35114283279.6171,1048080.73188783,"42"
"43","152",Postal Locality,SAFETY BAY,"6169",4640156.347,CO,6668077.83365006,16041.3315900149,"43"
"44","152",Postal Locality,ASHFIELD,"6054",774756.03,CO,1077862.52258272,5074.73274350902,"44"
"45","152",Postal Locality,MULLINGAR,"6430",57243883.861,CO,77643794.5243542,43538.0802350087,"45"
"46","152",Postal Locality,KALGOORLIE,"6430",3924307.402,CO,5330736.29080293,11008.4002452877,"46"
"47","152",Postal Locality,BURMA ROAD,"6532",206876307.791,CO,271249450.28305,76359.798842287,"47"
"48","152",Postal Locality,PEAK HILL,"6642",26524071665.169,CO,32596706977.0683,1161072.7637552,"48"
"49","152",Postal Locality,COOLGARDIE,"6429",124987844.051,CO,170301886.49345,58453.0733248921,"49"
"50","152",Postal Locality,YANDOO CREEK,"6701",3603447789.913,CO,4354982069.28146,305586.961666489,"50"
"51","152",Postal Locality,HIGGINSVILLE,"6443",1025391378.118,CO,1421881399.39148,169016.010798956,"51"
"52","152",Postal Locality,WHITBY,"6123",16754229.812,CO,23500184.5201323,24487.4689382896,"52"
"53","152",Postal Locality,RIDGEWOOD,"6030",1952052.585,CO,2745196.69278468,7467.77105689198,"53"
"54","152",Postal Locality,YANCHEP,"6035",218021235.543,CO,300952925.183324,96081.9689807941,"54"
"55","152",Postal Locality,SOUTH YUNDERUP,"6208",73622606.653,CO,104525484.642493,59337.6482755106,"55"
"56","152",Postal Locality,MOUNT ELPHINSTONE,"6330",2528615.693,CO,3776704.14004722,8342.02824935148,"56"
"57","152",Postal Locality,TIBRADDEN,"6532",46056799.226,CO,60118503.3350303,33144.9432649503,"57"
"58","152",Postal Locality,BOWGADA,"6623",770213015.09,CO,1017241858.52555,209063.136406787,"58"
"59","152",Postal Locality,UTAKARRA,"6530",4937809.262,CO,6451052.34925478,14140.4344877094,"59"
"60","152",Postal Locality,NANGETTY,"6522",400630302.899,CO,525553239.5076,112388.994361682,"60"
"61","152",Postal Locality,WUBIN,"6612",498027184.18,CO,640807681.25043,147496.371933308,"61"
"62","152",Postal Locality,ERADU,"6532",41467206.055,CO,54065994.8498134,39713.0800956599,"62"
"63","152",Postal Locality,EAST DAMBORING,"6606",103251209.894,CO,139471361.262459,55899.9163251741,"63"
"64","152",Postal Locality,MINDARRA,"6503",221520921.843,CO,303000261.093204,99445.2815797166,"64"
"65","152",Postal Locality,SOUTH MURCHISON,"6635",11584027254.272,CO,14728930510.162,1235226.23673097,"65"
"66","152",Postal Locality,HOLMWOOD,"6522",237274748.108,CO,311470906.834557,102238.020685124,"66"
"67","152",Postal Locality,KALGAN,"6330",249961089.699,CO,366099858.779626,125441.653968293,"67"
"68","152",Postal Locality,LITTLE SANDY DESERT,"6646",119397126767.114,CO,145549009731.333,1966999.81723806,"68"
"69","152",Postal Locality,JACUP,"6337",696935565.881,CO,1012129751.11361,152333.983228098,"69"
"70","152",Postal Locality,MINGENEW,"6522",5830677.325,CO,7678688.0194706,14821.9787789439,"70"
"71","152",Postal Locality,SOUTH KALGOORLIE,"6430",3112363.858,CO,4228730.41941219,9091.76690112131,"71"
"72","152",Postal Locality,NORTHERN GULLY,"6532",61173398.763,CO,79748192.1412215,44495.1038247179,"72"
"73","152",Postal Locality,ELLENDALE,"6532",175645598.363,CO,229912408.727167,79854.8462089426,"73"
"74","152",Postal Locality,FRASER RANGE,"6443",20485887871.852,CO,28536757215.8525,889212.331573337,"74"
"75","152",Postal Locality,PINWERNYING,"6317",5409987.048,CO,7830090.32602406,13403.4430900591,"75"
"76","152",Postal Locality,ADAMSVALE,"6375",246509744.377,CO,345845060.705652,88046.2195523046,"76"
"77","152",Postal Locality,LAKE MUIR,"6258",713247392.179,CO,1052656659.59555,151717.323470109,"77"
"78","152",Postal Locality,PALMDALE,"6328",158229892.837,CO,234753998.569663,89172.6022733447,"78"
"79","152",Postal Locality,BIDDELIA,"6260",163193845.655,CO,239929759.657854,69607.1397640705,"79"
"80","152",Postal Locality,WILBERFORCE,"6302",141867625.554,CO,197092792.207744,70757.4817309348,"80"
"81","152",Postal Locality,KURRENKUTTEN,"6375",310324220.363,CO,436024586.485743,105064.169728418,"81"
"82","152",Postal Locality,DALKEITH,"6009",2926319.883,CO,4130765.48452866,9102.77800676442,"82"
"83","152",Postal Locality,BILBARIN,"6375",182288155.933,CO,254896449.576175,75212.926243982,"83"
"84","152",Postal Locality,CAMBALLIN,"6728",4209955592.307,CO,4671899371.43692,410964.733296345,"84"
"85","152",Postal Locality,NYABING,"6341",1962526869.03,CO,2835648037.05716,272639.081725304,"85"
"86","152",Postal Locality,FITZROY CROSSING,"6765",27986245.437,CO,31173884.5629409,30003.3813885576,"86"
"87","152",Postal Locality,NEDLANDS,"6009",5352565.314,CO,7455853.17861932,14500.8355192451,"87"
"88","152",Postal Locality,RIVERTON,"6148",2708921.318,CO,3782640.26136013,11170.5341951065,"88"
"89","152",Postal Locality,YOURDAMUNG LAKE,"6225",558340063.572,CO,799026968.885202,142927.172144526,"89"
"90","152",Postal Locality,SHARK BAY,"6537",8202431589.072,CO,10175159048.1252,2205629.4905391,"90"
"91","152",Postal Locality,EXMOUTH GULF,"6707",4934332916.72,CO,5810191492.12162,682412.947822293,"91"
"92","152",Postal Locality,TAMALA,"6532",1386368915.345,CO,1747217577.10691,489212.308297264,"92"
"93","152",Postal Locality,BULLARING,"6373",559081242.582,CO,788566824.329862,161653.495052756,"93"
"94","152",Postal Locality,BORANUP,"6286",106447371.694,CO,156239740.231407,70221.2502938574,"94"
"95","152",Postal Locality,AUGUSTA,"6290",37816415.115,CO,55581377.1199937,60748.6660351743,"95"
"96","152",Postal Locality,REDGATE,"6286",23593749.554,CO,34729031.3806513,36851.7801244054,"96"
"97","152",Postal Locality,CRAWLEY,"6009",1424426.549,CO,7132872.21469732,11291.0338514987,"97"
"98","152",Postal Locality,WARBURTON,"6431",2794518089.783,CO,3479569421.46242,296249.813660231,"98"
"99","152",Postal Locality,NGAANYATJARRA-GILES,"0872",62276218261.2,CO,76545537086.5218,1418756.19288963,"99"
"100","152",Postal Locality,PATJARR,"0872",24846418.115,AN,30198248.6423694,23002.1422568672,"100"
"101","152",Postal Locality,WEMBLEY,"6014",4228916.825,CO,5894211.44683259,11061.2844212872,"101"
"102","152",Postal Locality,BAKERS HILL,"6562",83914030.713,CO,116436420.63676,51731.4280446717,"102"
"103","152",Postal Locality,COPLEY,"6562",99133024.898,CO,137742546.711245,72660.4724848901,"103"
"104","152",Postal Locality,SHENTON PARK,"6008",3341787.686,CO,4659307.67354742,12060.5294254857,"104"
